数の子	鯡魚卵
ツッコミ	吐槽
赤ちゃん	寶寶
幼馴染	青梅竹馬
サキュバス	魅魔
ハイエルフ	高等精靈
ダークエルフ	暗精靈
ヴァンパイア	吸血鬼
ケダモノ	禽獸
責め	責難
先輩	前輩
ツンデレ	傲嬌
ヤンデレ	病嬌
クーデレ	三無
ヒロイン	女主角
モブ	路人角色
ハーレム	後宮
ギャル	辣妹
ゴスロリ	歌德蘿莉
メイド	女僕
エルフ	精靈
ドワーフ	矮人
ゴブリン	哥布林
オーク	半獸人
スライム	史萊姆
ドラゴン	巨龍
ゴーレム	魔像
ホムンクルス	人造人
アンデッド	不死族
リッチ	巫狀
デュラハン	無頭騎士
ギルド	公會
クエスト	任務
ダンジョン	地下城
ファンタジー	奇幻
サイバーパンク	賽博朋克
ディストピア	反烏托邦




















===================================
キンタマ	蛋蛋
口まんこ	嘴穴
オチンポ	肉棒
チンポ	肉棒
まんこ	小穴
膣	陰道
ドＭ	抖M
乳首	乳頭
生挿入	無套插入
生チンポ	無套肉棒
生オチンポ	無套肉棒
ディルド	假陽具
ハリガタ	假陽具
バイブ	震動棒
生ディルド	人肉假陽具
生バイブ	人肉振動棒
生オナホ	人肉飛機杯
